                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.3849,                 1.4437,                 1.7341,                0.59109,                0.68539,                 0.6935,                0.36764,                 1.5626,                 1.4682,                 1.9325,              0.0070795,              0.0070795,              0.0070795
                    121,                 1.3824,                 1.4451,                 1.7266,                  0.572,                0.66936,                0.67588,                0.35258,                  1.599,                 1.5176,                 1.9772,              0.0070547,              0.0070547,              0.0070547
                    122,                 1.3693,                 1.4391,                 1.7179,                 0.5632,                0.69977,                0.69768,                0.37339,                 1.5424,                   1.48,                 1.9121,                0.00703,                0.00703,                0.00703
                    123,                 1.3824,                 1.4493,                 1.7309,                0.57017,                0.70939,                0.71834,                0.37113,                 1.5979,                 1.4703,                  1.951,              0.0070053,              0.0070053,              0.0070053
                    124,                 1.3668,                 1.4174,                 1.7081,                0.59548,                0.63541,                0.69118,                0.34894,                 1.6433,                 1.5222,                 1.9981,              0.0069805,              0.0069805,              0.0069805
                    125,                  1.382,                 1.4629,                 1.7326,                0.60094,                0.68897,                0.69651,                 0.3703,                 1.5923,                 1.4376,                 1.9308,              0.0069558,              0.0069558,              0.0069558
                    126,                 1.3799,                 1.4458,                 1.7276,                0.57837,                0.68222,                0.69568,                0.35326,                  1.625,                 1.5094,                 2.0285,               0.006931,               0.006931,               0.006931
                    127,                 1.3678,                 1.4295,                 1.7232,                 0.5922,                 0.6628,                0.67773,                0.35957,                 1.6184,                 1.4913,                 1.9541,              0.0069063,              0.0069063,              0.0069063
                    128,                 1.3576,                 1.4369,                 1.7052,                 0.5781,                0.66734,                0.69859,                0.35859,                 1.6096,                 1.4824,                 1.9836,              0.0068815,              0.0068815,              0.0068815
                    129,                  1.354,                 1.4254,                 1.7036,                0.59965,                0.65328,                0.69803,                0.35859,                 1.6314,                 1.4957,                 1.9667,              0.0068568,              0.0068568,              0.0068568
